iter	Logloss
0	0.6750048038
1	0.6590892623
2	0.6450983503
3	0.6336919277
4	0.620496998
5	0.60941199
6	0.6014875335
7	0.5930058659
8	0.5879804766
9	0.5820368938
10	0.5773255524
11	0.5723778175
12	0.5680261172
13	0.5651010959
14	0.5627983429
15	0.560442332
16	0.5583518391
17	0.5561804624
18	0.5544014093
19	0.5529778019
20	0.5514060955
21	0.5501247607
22	0.5491001233
23	0.5482392118
24	0.5472789499
25	0.5465063595
26	0.5457025615
27	0.5449783647
28	0.5440969559
29	0.5434838181
30	0.5430211854
31	0.5424070289
32	0.5421091622
33	0.5416956445
34	0.541329592
35	0.5409854314
36	0.5407049108
37	0.5404463609
38	0.540279015
39	0.5399965087
40	0.5397724881
41	0.539661389
42	0.5394691702
43	0.5393031061
44	0.5391710497
45	0.5390303318
46	0.5388926391
47	0.5387739765
48	0.5386281925
49	0.5385849859
50	0.538462761
51	0.5383338873
52	0.5382423655
53	0.5381746426
54	0.5380637859
55	0.5379787916
56	0.537958008
57	0.5379020271
58	0.5378191889
59	0.5377762414
60	0.5377134547
61	0.537690535
62	0.5376567607
63	0.5376080352
64	0.5375514959
65	0.5375021153
66	0.5374556373
67	0.5374323765
68	0.5373889765
69	0.5373599439
70	0.5371706046
71	0.5371468774
72	0.5371167343
73	0.5370760882
74	0.5370454416
75	0.5370144118
76	0.5369776523
77	0.5369016556
78	0.536898786
79	0.5368901292
80	0.5368473567
81	0.5368045295
82	0.5367839422
83	0.5367578782
84	0.5366709606
85	0.5366217708
86	0.5365948304
87	0.5365882174
88	0.5365564219
89	0.5365533322
90	0.5365385675
91	0.5365285778
92	0.5364415084
93	0.5364054419
94	0.5363965233
95	0.5363729108
96	0.5363586285
97	0.5363418009
98	0.5363247788
99	0.5363029547
100	0.5362840475
101	0.5362524249
102	0.5361990026
103	0.536180683
104	0.5361467328
105	0.5361119684
106	0.5360949788
107	0.5360432907
108	0.5360320679
109	0.536018913
110	0.5359756353
111	0.535836811
112	0.5358168134
113	0.5358108241
114	0.5357979502
115	0.5357840061
116	0.5357683937
117	0.535758916
118	0.5357529338
119	0.5357240668
120	0.5357157235
121	0.535697714
122	0.5356672815
123	0.535638194
124	0.5356381916
125	0.5356109628
126	0.5356041063
127	0.5355683402
128	0.5355582614
129	0.5355474453
130	0.5355157943
131	0.5354903322
132	0.5354892203
133	0.5354785996
134	0.5354616605
135	0.5354498349
136	0.5354492163
137	0.5354303884
138	0.535420342
139	0.5353973262
140	0.5353456036
141	0.5353335939
142	0.5353166578
143	0.5353074448
144	0.5352725493
145	0.5352546577
146	0.5352332743
147	0.5352238648
148	0.5352128459
149	0.5351977829
150	0.5351655509
151	0.5351591084
152	0.5351432424
153	0.5351289785
154	0.5351168473
155	0.535116847
156	0.5351129248
157	0.5350846557
158	0.5350597634
159	0.535050936
160	0.5350239808
161	0.5349957871
162	0.5349603288
163	0.5349446823
164	0.5349431057
165	0.534925273
166	0.5349011422
167	0.5348943903
168	0.5348836153
169	0.5348657049
170	0.5348565432
171	0.5348442774
172	0.5348360494
173	0.5348253078
174	0.5348160079
175	0.5348024168
176	0.5347846837
177	0.5347713115
178	0.5347712423
179	0.534752083
180	0.5347483442
181	0.5347471478
182	0.5347467672
183	0.5347322209
184	0.534716043
185	0.5347077102
186	0.5346874688
187	0.5346866362
188	0.5346506515
189	0.5346225983
190	0.5346060657
191	0.5345980999
192	0.5345715685
193	0.5345529259
194	0.5344309944
195	0.5344224399
196	0.5344207557
197	0.5344038966
198	0.5343994396
199	0.5343764779
200	0.5343663708
201	0.5343463442
202	0.5343250539
203	0.5343153329
204	0.534307837
205	0.5343065721
206	0.534290456
207	0.5342904556
208	0.5342760629
209	0.5342457711
210	0.5342309852
211	0.5342268826
212	0.5342131443
213	0.5341936259
214	0.534186089
215	0.5341683548
216	0.5341491617
217	0.5341491617
218	0.5341229937
219	0.5341018778
220	0.5340969714
221	0.5340957718
222	0.5340882745
223	0.5340601099
224	0.5340528175
225	0.5340528026
226	0.534046492
227	0.534022107
228	0.5339366422
229	0.5339173349
230	0.533895855
231	0.5338747635
232	0.5338010275
233	0.5337757068
234	0.5337444469
235	0.5337172271
236	0.533708058
237	0.53368948
238	0.5336894797
239	0.533673934
240	0.5336495466
241	0.5335625426
242	0.533539714
243	0.5335173239
244	0.5334816245
245	0.5334387506
246	0.533425531
247	0.5334208886
248	0.5334020604
249	0.5333769837
250	0.533371864
251	0.5333665781
252	0.533351366
253	0.5333424826
254	0.5333351798
255	0.5333104543
256	0.5333005705
257	0.5332950775
258	0.5332786749
259	0.5332774069
260	0.5332763241
261	0.533266219
262	0.5332539466
263	0.5332402488
264	0.533200256
265	0.5331568977
266	0.5331246168
267	0.5331007807
268	0.5330386945
269	0.5330305896
270	0.5330277406
271	0.5330015326
272	0.5329896518
273	0.5329797335
274	0.5329440408
275	0.5329412266
276	0.532903215
277	0.5328701306
278	0.5328442102
279	0.5328108309
280	0.5328028654
281	0.532794397
282	0.5327664683
283	0.5327559555
284	0.5327307639
285	0.532726837
286	0.5327079483
287	0.5326949718
288	0.5326802005
289	0.5326648545
290	0.5326537495
291	0.5326427253
292	0.5326323281
293	0.5326109992
294	0.532597421
295	0.5325932886
296	0.5325761204
297	0.5325437878
298	0.5325163723
299	0.5325031599
300	0.5324823978
301	0.5324553574
302	0.5324530739
303	0.5324133479
304	0.5324034824
305	0.5324003188
306	0.5323709026
307	0.5323395476
308	0.5323292919
309	0.5323217113
310	0.5323052615
311	0.5323025063
312	0.5322886769
313	0.5322561516
314	0.5322504954
315	0.5322389043
316	0.5322301607
317	0.5322212037
318	0.5322202331
319	0.5321942882
320	0.5321870377
321	0.5321614624
322	0.5321478535
323	0.5321377938
324	0.5320976112
325	0.5320891525
326	0.5320744716
327	0.5320638917
328	0.532051706
329	0.5320336067
330	0.5320190444
331	0.5319801339
332	0.5319673252
333	0.5319514971
334	0.5319165508
335	0.5319079221
336	0.5319015618
337	0.5318962592
338	0.5318646565
339	0.5318636987
340	0.5318580097
341	0.5318306725
342	0.5318300241
343	0.5318234204
