iter	Passed	Remaining
0	5	5834
1	11	5767
2	16	5622
3	21	5394
4	27	5515
5	35	5815
6	40	5761
7	45	5690
8	51	5697
9	57	5721
10	62	5640
11	68	5673
12	74	5637
13	79	5599
14	84	5536
15	90	5556
16	95	5523
17	102	5575
18	107	5535
19	112	5515
20	118	5542
21	125	5559
22	132	5614
23	136	5564
24	141	5536
25	147	5514
26	154	5561
27	159	5553
28	166	5586
29	173	5617
30	178	5594
31	184	5568
32	190	5568
33	195	5566
34	201	5565
35	206	5537
36	213	5564
37	219	5544
38	223	5510
39	231	5558
40	237	5545
41	246	5623
42	252	5623
43	258	5627
44	264	5603
45	270	5606
46	276	5598
47	281	5575
48	288	5596
49	294	5594
50	300	5591
51	305	5572
52	311	5563
53	317	5559
54	322	5548
55	329	5551
56	335	5556
57	343	5584
58	349	5579
59	354	5560
60	360	5550
61	366	5543
62	371	5529
63	376	5506
64	382	5495
65	387	5487
66	394	5491
67	400	5493
68	407	5494
69	413	5493
70	418	5472
71	424	5468
72	430	5469
73	438	5491
74	445	5495
75	452	5498
76	460	5514
77	467	5526
78	474	5529
79	481	5531
80	487	5528
81	494	5530
82	499	5517
83	506	5520
84	510	5491
85	515	5480
86	522	5481
87	528	5474
88	533	5464
89	540	5460
90	546	5456
91	552	5448
92	557	5441
93	564	5441
94	570	5431
95	575	5418
96	581	5413
97	588	5413
98	593	5404
99	598	5389
100	605	5393
101	610	5378
102	615	5363
103	622	5362
104	627	5347
105	632	5336
106	638	5330
107	644	5323
108	653	5340
109	660	5345
110	666	5336
111	671	5320
112	678	5325
113	684	5320
114	690	5313
115	696	5311
116	703	5306
117	708	5293
118	713	5282
119	719	5277
120	724	5265
121	731	5261
122	736	5250
123	742	5245
124	748	5242
125	757	5252
126	762	5239
127	767	5228
128	774	5227
129	779	5216
130	786	5215
131	791	5207
132	798	5203
133	803	5194
134	808	5180
135	815	5179
136	820	5167
137	825	5153
138	830	5146
139	836	5138
140	841	5128
141	846	5117
142	852	5108
143	858	5104
144	865	5101
145	872	5103
146	879	5104
147	885	5099
148	890	5086
149	897	5083
150	902	5076
151	908	5067
152	914	5063
153	919	5050
154	924	5042
155	930	5034
156	937	5032
157	942	5023
158	947	5013
159	956	5019
160	962	5015
161	968	5007
162	974	5005
163	980	4997
164	985	4984
165	990	4976
166	995	4967
167	1000	4956
168	1005	4946
169	1012	4945
170	1017	4933
171	1023	4928
172	1033	4938
173	1039	4932
174	1045	4926
175	1051	4921
176	1057	4918
177	1062	4907
178	1068	4902
179	1073	4891
180	1079	4883
181	1084	4875
182	1092	4877
183	1097	4866
184	1102	4857
185	1109	4853
186	1114	4844
187	1119	4836
188	1125	4831
189	1130	4821
190	1137	4818
191	1142	4807
192	1148	4804
193	1155	4801
194	1162	4797
195	1168	4792
196	1175	4791
197	1180	4783
198	1185	4772
199	1192	4769
200	1197	4759
201	1203	4754
202	1209	4747
203	1214	4737
204	1220	4734
205	1228	4733
206	1234	4730
207	1239	4721
208	1245	4715
209	1252	4710
210	1257	4702
211	1274	4736
212	1279	4726
213	1297	4766
214	1313	4796
215	1330	4828
216	1348	4866
217	1358	4873
218	1364	4866
219	1379	4892
220	1384	4880
221	1397	4896
222	1403	4891
223	1410	4884
224	1416	4880
225	1422	4870
226	1428	4863
227	1432	4852
228	1439	4848
229	1446	4843
230	1451	4833
231	1460	4833
232	1466	4828
233	1473	4825
234	1479	4815
235	1484	4806
236	1490	4798
237	1496	4791
238	1502	4783
239	1506	4771
240	1513	4765
241	1518	4755
242	1524	4749
243	1530	4743
244	1537	4737
245	1542	4729
246	1547	4718
247	1553	4710
248	1559	4702
249	1565	4696
250	1571	4689
251	1577	4683
252	1583	4675
253	1588	4664
254	1594	4659
255	1600	4650
256	1605	4640
