booking_id,booking_date,sales_channel,adult_count,child_count,returning_customer,previous_cancellations,previous_no_shows,booking_status,booking_value,days_until_checkin,weekday_nights,weekend_nights,meal_plan,parking_included,room_type,customer_special_requests
INN00000,2020-07-08,корпоративное_бронирование,300,0,False,0,0,нет_отказа,6700.0,21,1,0,тип_питания_2,False,тип_1,0
INN00001,2021-09-19,корпоративное_бронирование,3,0,True,0,1,нет_отказа,62300.0,15,5,2,тип_питания_2,False,тип_1,1
INN00002,2022-11-19,корпоративное_бронирование,3,0,True,0,2,нет_отказа,46900.0,96,5,2,тип_питания_1,False,тип_1,0
INN00003,2017-02-11,онлайн_бронирование,2,0,False,0,0,нет_отказа,53600.0,150,6,2,тип_питания_1,False,тип_1,0
INN00004,2019-03-06,корпоративное_бронирование,1,0,True,1,1,нет_отказа,46900.0,96,5,2,тип_питания_1,False,тип_1,1
INN00005,2019-12-28,корпоративное_бронирование,1,0,True,1,2,нет_отказа,44500.0,103,5,0,тип_питания_1,False,тип_1,0
INN00006,2020-10-24,корпоративное_бронирование,1,0,True,1,3,нет_отказа,80400.0,217,10,2,тип_питания_1,False,тип_1,1
INN00007,2017-08-21,корпоративное_бронирование,2,0,True,1,1,нет_отказа,67000.0,144,8,2,тип_питания_1,False,тип_4,0
INN00008,2017-08-11,корпоративное_бронирование,1,0,True,1,1,отказ_брони,97900.0,175,9,2,тип_питания_1,False,тип_1,0
INN00009,2017-10-10,корпоративное_бронирование,1,0,True,2,1,нет_отказа,60300.0,121,7,2,тип_питания_1,False,тип_4,0
INN00010,2020-06-19,онлайн_бронирование,2,0,False,0,0,нет_отказа,93800.0,75,10,4,тип_питания_1,False,тип_4,2
INN00011,2021-11-04,онлайн_бронирование,2,0,True,0,1,нет_отказа,0.0,3,1,0,тип_питания_1,False,тип_1,1
INN00012,2020-12-02,онлайн_бронирование,3,2,False,0,0,нет_отказа,80400.0,135,10,2,тип_питания_1,False,тип_4,0
INN00013,2021-10-22,онлайн_бронирование,3,2,True,0,1,отказ_брони,53600.0,76,6,2,тип_питания_1,False,тип_6,1
INN00014,2021-11-02,онлайн_бронирование,3,2,True,1,1,нет_отказа,46900.0,18,5,2,тип_питания_1,False,тип_1,1
INN00015,2020-01-28,онлайн_бронирование,3,1,False,0,0,нет_отказа,80100.0,7,7,2,тип_питания_1,False,тип_1,0
INN00016,2018-11-11,корпоративное_бронирование,1,0,False,0,0,нет_отказа,60300.0,5,7,2,тип_питания_1,False,тип_4,1
INN00017,2020-04-20,офлайн_бронирование,2,0,False,0,0,отказ_брони,106800.0,145,10,2,тип_питания_1,False,тип_4,0
INN00018,2019-06-18,офлайн_бронирование,2,0,False,0,0,нет_отказа,67000.0,76,8,2,тип_питания_1,False,тип_1,1
INN00019,2018-09-04,корпоративное_бронирование,3,0,False,0,0,нет_отказа,6700.0,80,1,0,тип_питания_1,False,тип_4,1
